StepID,DOY,Time1,Time2,Hours,StepLength,SL_Hour,Pack,,
1,349,14/12/2021 23:01,15/12/2021 3:00,3.983333333,506.7586843,126.6896711,Roosevelt,,
2,350,15/12/2021 3:00,15/12/2021 7:00,4,2.40669925,0.601674812,Roosevelt,,
3,350,15/12/2021 7:00,15/12/2021 11:00,4,148.1680133,37.04200333,Roosevelt,,
4,350,15/12/2021 11:00,15/12/2021 15:00,4,46.07369549,11.51842387,Roosevelt,,
5,350,15/12/2021 15:00,15/12/2021 19:01,4.016666667,3688.40668,922.1016699,Roosevelt,,
6,350,15/12/2021 19:01,15/12/2021 23:00,3.983333333,726.3225058,181.5806264,Roosevelt,,
7,350,15/12/2021 23:00,16/12/2021 3:00,4,2931.437256,732.859314,Roosevelt,,
8,351,16/12/2021 3:00,16/12/2021 7:00,4,0.546100742,0.136525185,Roosevelt,,
9,351,16/12/2021 15:00,16/12/2021 19:01,4.016666667,4745.845263,1186.461316,Roosevelt,,
10,351,16/12/2021 19:01,16/12/2021 23:01,4,1115.714272,278.928568,Roosevelt,,
11,351,16/12/2021 23:01,17/12/2021 3:00,3.983333333,1678.322155,419.5805388,Roosevelt,,
12,352,17/12/2021 3:00,17/12/2021 7:00,4,1.937365005,0.484341251,Roosevelt,,
13,352,17/12/2021 7:00,17/12/2021 11:00,4,174.9453466,43.73633666,Roosevelt,,
14,352,17/12/2021 11:00,17/12/2021 15:00,4,344.7238097,86.18095243,Roosevelt,,
15,352,17/12/2021 15:00,17/12/2021 19:00,4,1214.950395,303.7375988,Roosevelt,,
16,352,17/12/2021 19:00,17/12/2021 23:00,4,3737.28223,934.3205575,Roosevelt,,
17,352,17/12/2021 23:00,18/12/2021 3:00,4,4597.373346,1149.343336,Roosevelt,,
18,353,18/12/2021 3:00,18/12/2021 7:00,4,2281.246878,570.3117195,Roosevelt,,
19,353,18/12/2021 7:00,18/12/2021 11:00,4,1.086011689,0.271502922,Roosevelt,,
20,353,18/12/2021 11:00,18/12/2021 15:01,4.016666667,1357.395515,339.3488788,Roosevelt,,
21,353,18/12/2021 15:01,18/12/2021 19:00,3.983333333,2541.221297,635.3053243,Roosevelt,,
22,353,18/12/2021 19:00,18/12/2021 23:00,4,3546.389066,886.5972666,Roosevelt,,
23,353,18/12/2021 23:00,19/12/2021 3:00,4,5070.121297,1267.530324,Roosevelt,,
24,354,19/12/2021 3:00,19/12/2021 7:00,4,4554.446703,1138.611676,Roosevelt,,
25,354,19/12/2021 7:00,19/12/2021 11:00,4,441.5880476,110.3970119,Roosevelt,,
26,354,19/12/2021 11:00,19/12/2021 15:00,4,4.823929199,1.2059823,Roosevelt,,
27,354,19/12/2021 15:00,19/12/2021 19:01,4.016666667,6473.808906,1618.452226,Roosevelt,,
28,354,19/12/2021 19:01,19/12/2021 23:00,3.983333333,438.9078641,109.726966,Roosevelt,,
29,354,19/12/2021 23:00,20/12/2021 3:02,4.033333333,11.77291793,2.943229483,Roosevelt,,
30,355,20/12/2021 3:02,20/12/2021 7:01,3.983333333,8.360648928,2.090162232,Roosevelt,,
31,355,20/12/2021 7:01,20/12/2021 11:00,3.983333333,196.0340662,49.00851654,Roosevelt,,
32,355,20/12/2021 11:00,20/12/2021 15:00,4,185.6370811,46.40927027,Roosevelt,,
33,355,20/12/2021 15:00,20/12/2021 19:00,4,20.77874226,5.194685566,Roosevelt,,
